city,companyFullName,companyName,positionName,salary
上海,上海宏鹿信息技术服务有限公司,上海宏鹿信息技术服务有限公司,数据挖掘-征信建模,15k-30k
上海,支付宝(杭州)信息技术有限公司,蚂蚁金服集团,数据挖掘专家-P7-风险与决策中心-蚂蚁金服-上海,25k-50k
上海,北京三快在线科技有限公司,美团点评,高级数据挖掘,25k-35k
上海,上海晋景数据科技有限公司,上海晋景数据,初级数据挖掘工程师,15k-25k
上海,上海中畅信息科技有限公司,中畅科技,数据挖掘工程师,12k-23k
上海,平安科技（深圳）有限公司,平安科技,数据挖掘工程师-模型方向（上海）,10k-15k
上海,京东商城,京东,数据挖掘工程师,15k-30k
上海,宝象投资控股集团有限公司,宝象投资控股集团有限公司,数据挖掘工程师,20k-30k
上海,天翼征信有限公司,天翼征信有限公司,数据挖掘工程师,10k-20k
上海,百度在线网络技术（北京）有限公司,百度,数据挖掘、机器学习资深工程师,35k-50k
上海,上海景域文化传播股份有限公司,驴妈妈旅游网,数据挖掘架构师,30k-40k
上海,苏州工业园区凌志软件股份有限公司,凌志软件,数据挖掘工程师,10k-20k
上海,上海聚力传媒技术有限公司,PPTV聚力,数据挖掘工程师（龙珠直播）,20k-35k
上海,上海宏原信息科技有限公司,MarcPoint,数据挖掘算法工程师（intern01）,4k-5k
上海,银川全息数据科技有限公司,全息数据,数据挖掘工程师,15k-30k
上海,上海宏鹿信息技术服务有限公司,上海宏鹿信息技术服务有限公司,数据挖掘专家,15k-30k
上海,上海晋景数据科技有限公司,上海晋景数据,中级数据挖掘工程师,20k-30k
上海,北京三快在线科技有限公司,美团点评,数据挖掘算法工程师,25k-35k
上海,支付宝(杭州)信息技术有限公司,蚂蚁金服集团,数据挖掘专家-风险与决策中心-蚂蚁金服-杭州/上海,25k-50k
上海,上海傲硕信息科技有限公司,傲硕科技,数据挖掘工程师,20k-25k
上海,北京百分点信息科技有限公司,百分点,数据挖掘工程师,15k-25k
上海,上海中彦信息科技有限公司,返利网,数据挖掘工程师,15k-30k
上海,上海二三四五网络科技有限公司,2345.com,高级数据挖掘工程师(2345贷款王),15k-30k
上海,招商银行股份有限公司信用卡中心,招商银行信用卡中心,数据挖掘技术经理,30k-50k
上海,银川全息数据科技有限公司,全息数据,高级数据挖掘工程师,20k-40k
上海,深圳萨摩耶互联网金融服务有限公司,萨摩耶金服,数据挖掘与模型分析师,15k-25k
上海,上海幻电信息科技有限公司,哔哩哔哩,数据挖掘&amp;算法工程师,18k-30k
上海,上海蚁城网络科技有限公司,蚁城科技,数据挖掘工程师,15k-30k
上海,北京天网博赢科技有限公司,博赢科技,数据挖掘工程师,20k-30k
上海,北京明略软件系统有限公司,明略数据,数据挖掘算法工程师,15k-30k
上海,北京三快在线科技有限公司,美团点评,资深数据挖掘工程师,20k-40k
上海,上海游族信息技术有限公司,游族网络,高级游戏数据挖掘,15k-23k
上海,达而观信息科技（上海）有限公司,达观数据,数据挖掘工程师,15k-30k
上海,平安银行股份有限公司,平安银行,算法工程师/数据挖掘工程师,18k-35k
上海,上海侠特网络科技有限公司,侠特科技,数据挖掘工程师,15k-25k
上海,沪江教育科技（上海）股份有限公司,沪江,高级算法工程师（数据挖掘）,25k-38k
上海,北京东方国信科技股份有限公司,东方国信,数据挖掘顾问,12K-24K
上海,上海品见智能科技有限公司,品见智能,数据挖掘工程师,15k-30k
上海,百度在线网络技术（北京）有限公司,百度,数据挖掘、机器学习高级工程师,15k-25k
上海,苏州市捷梯培训学校,上元教育集团,数据挖掘工程师,20k-40k
上海,行吟信息科技（上海）有限公司,小红书,文本图像分析与数据挖掘工程师,15k-30k
